ProductID,CategoryID,ProductName,Brand,SKU,CostPrice,SellingPrice,ReorderLevel,ProductStatus,CreatedDate
PRD000001,CAT004,Puma Jacket,Puma,FAS-PUM-000001,3128.77,4563.53,81,Active,2025-12-29
PRD000002,CAT001,Apple Printer,Apple,ELE-APP-000002,125.59,191.43,128,Active,2024-11-18
PRD000003,CAT005,Nivia Badminton Racket,Nivia,SPO-NIV-000003,4430.28,6249.34,71,Active,2025-10-22
PRD000004,CAT002,IKEA Sofa,IKEA,FUR-IKE-000004,4239.99,5550.4,72,Active,2026-02-23
PRD000005,CAT001,Dell Keyboard,Dell,ELE-DEL-000005,4157.5,5546.35,129,Active,2025-02-25
PRD000006,CAT010,Castrol Tyre,Castrol,AUT-CAS-000006,3201.79,4855.48,130,Inactive,2024-07-12
PRD000007,CAT009,Hasbro Building Blocks,Hasbro,TOY-HAS-000007,2444.61,3864.46,124,Active,2026-04-05
PRD000008,CAT006,Pearson SQL Handbook,Pearson,BOO-PEA-000008,2380.32,3729.65,66,Active,2025-10-29
PRD000009,CAT001,HP Monitor,HP,ELE-HP-000009,2872.3,4036.02,148,Active,2025-01-09
PRD000010,CAT008,Milton Mixer,Milton,HOM-MIL-000010,4390.69,6697.99,25,Active,2025-03-22
PRD000011,CAT002,Godrej Bookshelf,Godrej,FUR-GOD-000011,1612.54,1878.45,148,Active,2025-03-08
PRD000012,CAT008,Hawkins Pressure Cooker,Hawkins,HOM-HAW-000012,807.08,1025.51,134,Active,2025-01-16
PRD000013,CAT001,Sony Keyboard,Sony,ELE-SON-000013,1128.26,1718.24,72,Active,2024-11-13
PRD000014,CAT001,Sony Keyboard,Sony,ELE-SON-000014,2724.71,3666.41,146,Active,2024-08-10
PRD000015,CAT005,Nivia Badminton Racket,Nivia,SPO-NIV-000015,2863.27,3617.25,40,Active,2024-07-02
PRD000016,CAT003,Tata Sugar,Tata,GRO-TAT-000016,3606.19,4620.55,149,Active,2025-01-16
PRD000017,CAT008,Hawkins Pressure Cooker,Hawkins,HOM-HAW-000017,748.29,1137.77,24,Active,2026-04-19
PRD000018,CAT010,Michelin Tyre,Michelin,AUT-MIC-000018,2300.27,2802.09,26,Active,2025-03-21
PRD000019,CAT003,Amul Coffee,Amul,GRO-AMU-000019,3677.76,5847.34,57,Active,2025-02-15
PRD000020,CAT007,Nivea Moisturizer,Nivea,BEA-NIV-000020,164.18,221.05,44,Inactive,2025-03-12
PRD000021,CAT003,Nestle Tea,Nestle,GRO-NES-000021,112.59,147.97,149,Active,2025-03-22
PRD000022,CAT004,Nike Hoodie,Nike,FAS-NIK-000022,3529.36,4565.34,108,Inactive,2025-01-12
